time,Fx,Fy,Fz,Tx,Ty,Tz,dx,dy,dz,dRx,dRy,dRz
36.2843,0,0,0,0,0,0,9.06608e-10,0,0,0,0,0
36.2974,0,0,0,0,0,0,8.73125e-10,0,0,0,0,0
36.3129,0,0,0,0,0,0,8.35637e-10,0,0,0,0,0
36.3266,0,0,0,0,0,0,8.03718e-10,0,0,0,0,0
36.3391,0,0,0,0,0,0,7.75568e-10,0,0,0,0,0
36.3561,0,0,0,0,0,0,7.39063e-10,0,0,0,0,0
36.3717,0,0,0,0,0,0,7.07004e-10,0,0,0,0,0
36.3862,0,0,0,0,0,0,6.78432e-10,0,0,0,0,0
36.404,0,0,0,0,0,0,6.45123e-10,0,0,0,0,0
36.4209,0,0,0,0,0,0,6.14945e-10,0,0,0,0,0
36.4397,0,0,0,0,0,0,5.83266e-10,0,0,0,0,0
36.4552,0,0,0,0,0,0,5.58114e-10,0,0,0,0,0
36.4716,0,0,0,0,0,0,5.32782e-10,0,0,0,0,0
36.488,0,0,0,0,0,0,5.08551e-10,0,0,0,0,0
36.5085,0,0,0,0,0,0,4.79957e-10,0,0,0,0,0
36.5236,-14.6388,0,0,0,0,0,0.0016478,0,0,0,0,0
36.5399,-14.2658,0,0,0,0,0,0.00475133,0,0,0,0,0
36.5599,-13.5724,0,0,0,0,0,0.00963241,0,0,0,0,0
36.5804,-12.6649,0,0,0,0,0,0.0150574,0,0,0,0,0
36.5958,-11.8523,0,0,0,0,0,0.0190956,0,0,0,0,0
36.6109,-10.6066,0,0,0,0,0,0.02,0,0,0,0,0
36.6271,-9.56136,0,0,0,0,0,0.02,0,0,0,0,0
36.6435,-8.43125,0,0,0,0,0,0.02,0,0,0,0,0
36.6591,-7.22631,0,0,0,0,0,0.02,0,0,0,0,0
36.6771,-5.95722,0,0,0,0,0,0.02,0,0,0,0,0
36.6915,-4.18487,0,0,0,0,0,0.02,0,0,0,0,0
36.7091,-2.81072,0,0,0,0,0,0.02,0,0,0,0,0
36.725,-0.941858,0,0,0,0,0,0.02,0,0,0,0,0
36.7379,3.14697e-14,0,0,0,0,0,0.02,0,0,0,0,0
36.7547,1.41162,0,0,0,0,0,0.019804,0,0,0,0,0
36.77,2.81072,0,0,0,0,0,0.0191147,0,0,0,0,0
36.7849,4.18487,0,0,0,0,0,0.01797,0,0,0,0,0
36.7991,5.52187,0,0,0,0,0,0.0164514,0,0,0,0,0
36.817,6.80986,0,0,0,0,0,0.0138668,0,0,0,0,0
36.8323,8.43125,0,0,0,0,0,0.0111861,0,0,0,0,0
36.8514,9.56136,0,0,0,0,0,0.00717058,0,0,0,0,0
36.8656,10.9345,0,0,0,0,0,0.00388124,0,0,0,0,0
36.8822,11.8523,0,0,0,0,0,-0.000427192,0,0,0,0,0
36.9013,12.6649,0,0,0,0,0,-0.005774,0,0,0,0,0
